,Location,Latitude,Longitude,Cluster,Distance
126,Perambur,13.1121242,80.245022,2,0
127,Villivakkam,13.1125875,80.2081378,2,0
128,Ambattur,13.1128863,80.15986241084877,0,0
129,Washermanpet,13.1136296,80.2814813,2,0
130,Pattaravakkam,13.1143904,80.1663975,0,0
131,Royapuram,13.1146195,80.2940279,2,0
132,Thirumullaivoyal,13.1152512,80.1382237,0,0
133,Thiruninravur,13.11573,80.026717,0,0
134,Annanur,13.1163563,80.1269127,0,0
135,Vyasarpadi,13.1169726,80.2571242,2,0
136,Pattabiram,13.1186572,80.0649854,0,0
137,Korukkupet,13.1215344,80.2837912,2,0
138,MKB Nagar,13.1225331,80.2631374,2,0
139,Kolathur,13.1241127,80.2046276,2,0
140,Avadi,13.1254758,80.09409,0,0
141,Tondiarpet,13.1277669,80.2895845,2,0
142,Moolakadai,13.1291684,80.2416991,2,0
143,Kodungaiyur,13.1327533,80.2444773,2,0
144,Madhavaram,13.1429313,80.2325166,2,0
145,Surapet,13.145407,80.183808,2,0
146,Pakkam,13.1534626,80.0260468,0,0
147,Madhavaram Milk Colony,13.1554081,80.2425246,2,0
148,Manali,13.163579,80.258609,2,0
149,Puzhal,13.1636492,80.2038067,2,0
150,Mathur,13.1678641,80.2436918,2,0
151,Thiruvotriyur,13.1691914,80.3045793,2,0
152,Eranavur,13.189569,80.3039,2,0
153,Eranavur,13.189569,80.3039,2,0
154,Red Hills,13.1922788,80.1837662,2,0
155,Kattivakkam,13.216133,80.318177,2,0
156,Kattivakkam,13.216133,80.318177,2,0
157,Ennore,13.2174681,80.3216013,2,0
158,Sholavaram,13.2387775,80.1622181,2,0
159,Minjur,13.2786146,80.2577671,2,0
