,Location,Latitude,Longitude,Cluster
142,Mathur,13.1678641,80.2436918,
143,Thiruvotriyur,13.1691914,80.3045793,
144,Eranavur,13.189569,80.3039,
145,Red Hills,13.1922788,80.1837662,
146,Kattivakkam,13.216133,80.318177,
147,Ennore,13.2174681,80.3216013,
148,Sholavaram,13.2387775,80.1622181,
149,Minjur,13.2786146,80.2577671,
150,Pudupet,13.3204744,79.57919229918443,
151,Mangadu,13.3374461,79.6070697,
152,Gopalapuram,17.134064799999997,81.53082656901205,
153,Raj Bhavan,17.4194223,78.4604552,
154,Ramavaram,17.770061849999998,81.86458950069394,
155,Manali New Town,32.2454608,77.1872926,
156,Manali,32.26309405,77.18812183241408,
157,ICF,44.277012,-105.5084729,
